keyword,total_mentions,asin_count,avg_sentiment,avg_star_rating,effectiveness_score,suggestion,notes,used_in_asins
you,64,10,0.0,4.0,8.06,Add to title,"Strong signal, widely used","B00MHQ8JKS, B00MHP9DA4, B0C77HQZ17, B0F4ZFLD75, B0F43LVQDM, B00RLK8UXG, B00XCCPOC2, B00TC5IA2E, B00MINEUEO, B0B68MLDZX"
this,20,10,0.0,4.0,6.3,Add to bullets,Moderate strength keyword,"B00MHQ8JKS, B00MHP9DA4, B075L95WPQ, B089Z96M1T, B00RLK8UXG, B00XCCPOC2, B00TC5IHI6, B00TC5IA2E, B00ZFS87LQ, B00MINEUEO"
this product,17,8,0.0,4.0,5.88,Add to bullets,Moderate strength keyword,"B00MHQ8JKS, B089Z96M1T, B08X1SX524, B0F4ZFLD75, B00RLK8UXG, B00TC5IHI6, B00XCCPOC2, B0B68MLDZX"
money,13,9,0.0,4.0,5.87,Add to bullets,Moderate strength keyword,"B00MHP9DA4, B075L95WPQ, B0C77HQZ17, B00RLK8UXG, B00TC5IHI6, B00TC5IA2E, B00ZFS87LQ, B00MINEUEO, B07QPCKGL4"
the car,15,6,0.0,4.0,5.5,Add to bullets,Moderate strength keyword,"B00MHQ8JKS, B00MHP9DA4, B089Z96M1T, B08X1SX524, B0C77HQZ17, B07QPCKGL4"
good product,11,7,0.0,4.0,5.49,Add to bullets,Moderate strength keyword,"B075L95WPQ, B089Z96M1T, B00RLK8UXG, B00TC5IHI6, B00S5SAFDQ, B00ZFS87LQ, B00TC5IA2E"
which,12,6,0.0,4.0,5.38,Add to bullets,Moderate strength keyword,"B00MHQ8JKS, B00MHP9DA4, B08X1SX524, B00XCCPOC2, B00TC5IA2E, B0B68MLDZX"
the shine,8,6,0.0,4.0,5.22,Add to bullets,Moderate strength keyword,"B08X1SX524, B0C77HQZ17, B0F4ZFLD75, B00XCCPOC2, B00MINEUEO, B07QPCKGL4"
that,8,4,0.0,4.0,4.92,Low priority,Low usage or weak sentiment,"B00TC5IHI6, B089Z96M1T, B00MHP9DA4, B00XCCPOC2"
product,8,4,0.0,4.0,4.92,Low priority,Low usage or weak sentiment,"B07QPCKGL4, B00MHP9DA4, B00S5SAFDQ, B00XCCPOC2"
car,5,4,0.0,4.0,4.8,Low priority,Low usage or weak sentiment,"B00MHQ8JKS, B07QPCKGL4, B00ZFS87LQ, B075L95WPQ"
shine,4,4,0.0,4.0,4.76,Low priority,Low usage or weak sentiment,"B00TC5IHI6, B00XCCPOC2, B00RLK8UXG, B00TC5IA2E"
this wax,10,2,0.0,4.0,4.7,Low priority,Low usage or weak sentiment,"B00MHP9DA4, B08X1SX524"
my car,6,3,0.0,4.0,4.69,Low priority,Low usage or weak sentiment,"B00MHQ8JKS, B00MHP9DA4, B00RLK8UXG"
tyre,5,3,0.0,4.0,4.65,Low priority,Low usage or weak sentiment,"B0F43LVQDM, B00S5SAFDQ, B0F4ZFLD75"
the product,5,3,0.0,4.0,4.65,Low priority,Low usage or weak sentiment,"B00ZFS87LQ, B00XCCPOC2, B075L95WPQ"
the result,4,3,0.0,4.0,4.61,Low priority,Low usage or weak sentiment,"B00MHQ8JKS, B00XCCPOC2, B0C77HQZ17"
the wax,7,2,0.0,4.0,4.58,Low priority,Low usage or weak sentiment,"B00MHP9DA4, B08X1SX524"
brand,3,3,0.0,4.0,4.57,Low priority,Low usage or weak sentiment,"B00ZFS87LQ, B0C77HQZ17, B075L95WPQ"
nice product,3,3,0.0,4.0,4.57,Low priority,Low usage or weak sentiment,"B0F43LVQDM, B0B68MLDZX, B00TC5IHI6"
dust,3,3,0.0,4.0,4.57,Low priority,Low usage or weak sentiment,"B07QPCKGL4, B00MHP9DA4, B00TC5IA2E"
value,3,3,0.0,4.0,4.57,Low priority,Low usage or weak sentiment,"B00ZFS87LQ, B00MINEUEO, B075L95WPQ"
application,3,3,0.0,4.0,4.57,Low priority,Low usage or weak sentiment,"B00RLK8UXG, B07QPCKGL4, B00TC5IHI6"
time,5,2,0.0,4.0,4.5,Low priority,Low usage or weak sentiment,"B00MHQ8JKS, B00XCCPOC2"
the paint,4,2,0.0,4.0,4.46,Low priority,Low usage or weak sentiment,"B00RLK8UXG, B08X1SX524"
the polish,4,2,0.0,4.0,4.46,Low priority,Low usage or weak sentiment,"B00RLK8UXG, B0C77HQZ17"
swirl mark,4,2,0.0,4.0,4.46,Low priority,Low usage or weak sentiment,"B00RLK8UXG, B00XCCPOC2"
your tyre,4,2,0.0,4.0,4.46,Low priority,Low usage or weak sentiment,"B00S5SAFDQ, B0C77HQZ17"
the surface,3,2,0.0,4.0,4.42,Low priority,Low usage or weak sentiment,"B00MHQ8JKS, B00RLK8UXG"
wax,3,2,0.0,4.0,4.42,Low priority,Low usage or weak sentiment,"B00MHP9DA4, B00XCCPOC2"
its,3,2,0.0,4.0,4.42,Low priority,Low usage or weak sentiment,"B00MHP9DA4, B08X1SX524"
this polish,3,2,0.0,4.0,4.42,Low priority,Low usage or weak sentiment,"B00S5SAFDQ, B0C77HQZ17"
hand,2,2,0.0,4.0,4.38,Low priority,Low usage or weak sentiment,"B00ZFS87LQ, B075L95WPQ"
the purpose,2,2,0.0,4.0,4.38,Low priority,Low usage or weak sentiment,"B00ZFS87LQ, B075L95WPQ"
"after polished, my nexon's old tyres change",2,2,0.0,4.0,4.38,Low priority,Low usage or weak sentiment,"B00ZFS87LQ, B075L95WPQ"
a satisfied product,2,2,0.0,4.0,4.38,Low priority,Low usage or weak sentiment,"B00ZFS87LQ, B075L95WPQ"
polished droplet,2,2,0.0,4.0,4.38,Low priority,Low usage or weak sentiment,"B00ZFS87LQ, B075L95WPQ"
day,2,2,0.0,4.0,4.38,Low priority,Low usage or weak sentiment,"B00TC5IHI6, B0C77HQZ17"
rain,2,2,0.0,4.0,4.38,Low priority,Low usage or weak sentiment,"B0F4ZFLD75, B0C77HQZ17"
polished surface,2,2,0.0,4.0,4.38,Low priority,Low usage or weak sentiment,"B00ZFS87LQ, B075L95WPQ"
my bike tyre,2,2,0.0,4.0,4.38,Low priority,Low usage or weak sentiment,"B0F43LVQDM, B0F4ZFLD75"
dirt,2,2,0.0,4.0,4.38,Low priority,Low usage or weak sentiment,"B00MHQ8JKS, B0C77HQZ17"
the manufacturer,2,2,0.0,4.0,4.38,Low priority,Low usage or weak sentiment,"B00TC5IHI6, B0C77HQZ17"
least application,2,2,0.0,4.0,4.38,Low priority,Low usage or weak sentiment,"B00ZFS87LQ, B075L95WPQ"
the hydrophobic,2,2,0.0,4.0,4.38,Low priority,Low usage or weak sentiment,"B00ZFS87LQ, B075L95WPQ"
glove,2,2,0.0,4.0,4.38,Low priority,Low usage or weak sentiment,"B00ZFS87LQ, B075L95WPQ"
bottle,2,2,0.0,4.0,4.38,Low priority,Low usage or weak sentiment,"B00ZFS87LQ, B075L95WPQ"
an amazing product,2,2,0.0,4.0,4.38,Low priority,Low usage or weak sentiment,"B00ZFS87LQ, B075L95WPQ"
cap,2,2,0.0,4.0,4.38,Low priority,Low usage or weak sentiment,"B00ZFS87LQ, B075L95WPQ"
wavex,2,2,0.0,4.0,4.38,Low priority,Low usage or weak sentiment,"B00ZFS87LQ, B075L95WPQ"
excellent result,2,2,0.0,4.0,4.38,Low priority,Low usage or weak sentiment,"B00MHQ8JKS, B00XCCPOC2"
brand new look,2,2,0.0,4.0,4.38,Low priority,Low usage or weak sentiment,"B00ZFS87LQ, B075L95WPQ"
the entire tyre,2,2,0.0,4.0,4.38,Low priority,Low usage or weak sentiment,"B00ZFS87LQ, B075L95WPQ"
my 8-year-old thunderbird 350 tyre,2,2,0.0,4.0,4.38,Low priority,Low usage or weak sentiment,"B00ZFS87LQ, B075L95WPQ"
tyre and plastic part,2,2,0.0,4.0,4.38,Low priority,Low usage or weak sentiment,"B00ZFS87LQ, B075L95WPQ"
just 3–4ml,2,2,0.0,4.0,4.38,Low priority,Low usage or weak sentiment,"B00ZFS87LQ, B075L95WPQ"
bike,2,2,0.0,4.0,4.38,Low priority,Low usage or weak sentiment,"B07QPCKGL4, B00TC5IHI6"
the dashboard,2,2,0.0,4.0,4.38,Low priority,Low usage or weak sentiment,"B089Z96M1T, B00MINEUEO"
a bit,2,2,0.0,4.0,4.38,Low priority,Low usage or weak sentiment,"B00MHQ8JKS, B0F4ZFLD75"
what,2,2,0.0,4.0,4.38,Low priority,Low usage or weak sentiment,"B089Z96M1T, B00TC5IHI6"
polish,2,2,0.0,4.0,4.38,Low priority,Low usage or weak sentiment,"B00TC5IHI6, B00S5SAFDQ"
stain,2,2,0.0,4.0,4.38,Low priority,Low usage or weak sentiment,"B089Z96M1T, B0B68MLDZX"
they,4,1,0.0,4.0,4.31,Low priority,Low usage or weak sentiment,B00MHP9DA4
water,3,1,0.0,4.0,4.27,Low priority,Low usage or weak sentiment,B00MHP9DA4
formula,3,1,0.0,4.0,4.27,Low priority,Low usage or weak sentiment,B00MHP9DA4
the chair,2,1,0.0,4.0,4.23,Low priority,Low usage or weak sentiment,B089Z96M1T
effort,2,1,0.0,4.0,4.23,Low priority,Low usage or weak sentiment,B00MHQ8JKS
no dust,2,1,0.0,4.0,4.23,Low priority,Low usage or weak sentiment,B00MHQ8JKS
few hour,2,1,0.0,4.0,4.23,Low priority,Low usage or weak sentiment,B00MHQ8JKS
monsoon,2,1,0.0,4.0,4.23,Low priority,Low usage or weak sentiment,B00MHQ8JKS
week,2,1,0.0,4.0,4.23,Low priority,Low usage or weak sentiment,B00XCCPOC2
scratch,2,1,0.0,4.0,4.23,Low priority,Low usage or weak sentiment,B00XCCPOC2
the applicator pad,2,1,0.0,4.0,4.23,Low priority,Low usage or weak sentiment,B00XCCPOC2
petroleum extract,2,1,0.0,4.0,4.23,Low priority,Low usage or weak sentiment,B00MHP9DA4
a lot,2,1,0.0,4.0,4.23,Low priority,Low usage or weak sentiment,B00MHP9DA4
the slickness,2,1,0.0,4.0,4.23,Low priority,Low usage or weak sentiment,B08X1SX524
these,2,1,0.0,4.0,4.23,Low priority,Low usage or weak sentiment,B00MHP9DA4
good wax,2,1,0.0,4.0,4.23,Low priority,Low usage or weak sentiment,B00MHP9DA4
the day,2,1,0.0,4.0,4.23,Low priority,Low usage or weak sentiment,B08X1SX524
lot,2,1,0.0,4.0,4.23,Low priority,Low usage or weak sentiment,B08X1SX524
amazing product,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B00MINEUEO
a clean and polished look,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B00MINEUEO
"a smooth, non-greasy shine",1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B00TC5IHI6
both car,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B00TC5IHI6
your car dashboard and door area,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B00MINEUEO
leather,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B089Z96M1T
a star,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B00MINEUEO
the quality,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B00MINEUEO
the foam applicator pad,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B00TC5IHI6
good one,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B00MINEUEO
great value,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B00TC5IHI6
tyer,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B00TC5IHI6
low price,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B00TC5IHI6
a tyre new shine,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B00TC5IHI6
this price,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B00TC5IHI6
my dashboard,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B00TC5IHI6
my car tyre,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B00TC5IHI6
"a deep, glossy finish",1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B00TC5IHI6
"work well, good condition",1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B00MINEUEO
nice quality,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B00MINEUEO
the price,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B00MINEUEO
its a treat,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B00MINEUEO
thank,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B00MINEUEO
vere,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B0F43LVQDM
good tyre polish,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B0F43LVQDM
very affordable price,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B0F43LVQDM
fast shipping,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B00MINEUEO
communication,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B00MINEUEO
the supplier,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B00MINEUEO
great item,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B00MINEUEO
my two car,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B00MINEUEO
more than 2 week,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B00MINEUEO
plastic,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B089Z96M1T
the sheeba tyre,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B00TC5IHI6
long last glossy shine,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B0F43LVQDM
car interior,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B089Z96M1T
pro,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B00RLK8UXG
my car's plastic part,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B089Z96M1T
other product,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B089Z96M1T
nice gloosy finish,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B07QPCKGL4
bajaj pulsar,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B07QPCKGL4
effectiveness,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B07QPCKGL4
"overall, a great choice",1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B0F4ZFLD75
a nice dark look,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B0F4ZFLD75
dull spot,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B0F4ZFLD75
few crack,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B0F4ZFLD75
i’ve,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B0F4ZFLD75
that anti-aging formula,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B0F4ZFLD75
sun damage,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B0F4ZFLD75
others?:this,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B0F4ZFLD75
your wheel,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B0F4ZFLD75
